EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,JobLevel,MonthlyIncome,PercentSalaryHike,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
1048,55,Male,Single,Research & Development,Manufacturing Director,4,Technical Degree,Travel_Rarely,1,1,4257,14,No,21,17,0,2,1,2,2,1,3,3,3,2,3,No
1049,18,Female,Single,Sales,Sales Representative,2,Human Resources,Travel_Rarely,7,2,5905,21,No,0,0,0,0,0,2,0,0,3,4,3,3,4,Yes
1050,57,Male,Married,Sales,Sales Executive,2,Technical Degree,Non-Travel,29,5,9146,17,No,1,0,0,0,0,2,5,1,2,3,2,2,3,No
1051,36,Male,Divorced,Sales,Sales Executive,1,Life Sciences,Travel_Rarely,21,4,12054,13,No,12,5,0,1,5,2,2,2,3,2,2,3,3,No
1052,38,Male,Married,Research & Development,Research Scientist,3,Other,Travel_Rarely,1,2,8434,19,No,6,2,1,1,0,6,4,0,3,1,3,2,3,No
1053,42,Male,Married,Research & Development,Manufacturing Director,2,Human Resources,Travel_Rarely,1,2,7614,17,Yes,13,11,0,1,11,1,3,1,3,2,2,3,3,No
1054,38,Male,Divorced,Research & Development,Manufacturing Director,2,Human Resources,Travel_Frequently,2,2,5958,20,Yes,4,1,1,1,1,2,2,2,3,4,3,3,4,Yes
1055,43,Male,Married,Research & Development,Laboratory Technician,4,Medical,Travel_Rarely,1,4,9749,12,Yes,3,0,0,0,0,2,3,1,1,1,3,3,3,No
1056,24,Female,Single,Research & Development,Manufacturing Director,3,Marketing,Non-Travel,3,4,9131,11,Yes,11,7,0,2,7,4,2,0,2,1,3,1,3,No
1057,19,Female,Married,Research & Development,Laboratory Technician,5,Technical Degree,Travel_Frequently,8,2,4845,11,No,5,0,0,0,0,5,6,1,2,3,3,4,3,No
1058,34,Female,Single,Research & Development,Laboratory Technician,3,Medical,Travel_Rarely,3,2,8276,11,No,3,1,1,1,1,2,5,2,4,3,4,3,3,No
1059,33,Female,Divorced,Sales,Sales Executive,4,Medical,Travel_Frequently,1,4,9627,18,No,17,12,2,1,8,1,2,0,2,4,3,3,3,No
1060,18,Female,Single,Sales,Manager,3,Marketing,Travel_Rarely,8,1,5767,14,No,1,0,0,0,0,3,2,0,2,3,2,1,3,Yes
1061,27,Female,Married,Research & Development,Laboratory Technician,3,Human Resources,Travel_Rarely,5,1,3549,11,No,4,0,0,0,0,5,0,1,3,1,2,3,3,Yes
1062,38,Female,Married,Research & Development,Research Director,3,Technical Degree,Travel_Rarely,13,4,11380,11,No,10,9,1,0,4,4,3,1,2,4,1,4,3,No
1063,46,Male,Single,Research & Development,Research Scientist,3,Human Resources,Travel_Rarely,3,3,10160,17,Yes,25,23,10,3,3,1,2,1,1,1,3,3,3,No
1064,48,Female,Divorced,Sales,Sales Representative,3,Technical Degree,Travel_Rarely,1,3,8042,11,No,19,12,2,4,3,1,5,0,2,2,3,3,3,No
1065,33,Male,Single,Research & Development,Manufacturing Director,2,Human Resources,Travel_Frequently,29,1,4819,18,No,11,4,0,1,3,5,2,0,4,4,1,2,3,No
1066,42,Male,Single,Research & Development,Research Director,3,Medical,Travel_Frequently,13,2,5803,17,No,12,10,0,0,4,0,3,1,4,3,2,3,3,No
1067,47,Male,Single,Research & Development,Research Scientist,5,Marketing,Travel_Rarely,3,1,5280,11,No,8,6,6,2,0,2,5,0,1,1,1,2,3,No
1068,22,Male,Single,Research & Development,Manufacturing Director,3,Marketing,Travel_Rarely,1,1,4077,20,No,7,2,2,1,0,3,4,1,1,4,2,3,3,No
1069,47,Female,Single,Human Resources,HR Manager,3,Technical Degree,Travel_Rarely,3,3,5075,11,No,4,0,0,0,0,3,2,2,4,1,4,2,3,Yes
1070,18,Female,Single,Sales,Sales Representative,4,Life Sciences,Non-Travel,8,1,2655,11,No,5,0,0,0,0,1,1,1,4,2,3,3,3,Yes
1071,39,Male,Divorced,Research & Development,Laboratory Technician,1,Human Resources,Travel_Rarely,4,1,4444,12,No,7,6,6,3,2,4,1,1,2,2,3,4,4,No
1072,51,Male,Married,Sales,Sales Representative,5,Human Resources,Travel_Rarely,15,3,8803,12,Yes,7,3,1,2,0,3,5,0,2,4,3,3,3,Yes
1073,44,Male,Married,Research & Development,Research Director,1,Marketing,Travel_Frequently,8,1,3886,11,Yes,4,2,2,0,2,3,5,1,1,2,3,2,3,Yes
1074,41,Male,Single,Research & Development,Research Director,4,Human Resources,Travel_Rarely,13,4,9949,20,No,10,8,8,1,3,2,5,1,3,4,3,3,3,No
1075,41,Female,Married,Sales,Sales Executive,5,Technical Degree,Travel_Rarely,18,4,9007,13,No,6,1,0,1,0,5,2,3,1,4,3,2,3,No
1076,28,Female,Single,Research & Development,Research Director,4,Other,Travel_Frequently,2,4,8575,11,Yes,4,1,1,1,1,0,4,2,4,3,3,4,3,Yes
1077,21,Female,Married,Sales,Sales Representative,3,Other,Travel_Rarely,29,1,1247,19,No,9,2,0,0,0,3,3,0,1,4,4,3,3,Yes
1078,55,Male,Divorced,Research & Development,Research Director,2,Human Resources,Travel_Frequently,2,4,7762,11,No,7,0,0,0,0,4,2,1,3,3,4,2,3,Yes
1079,38,Male,Married,Research & Development,Laboratory Technician,4,Technical Degree,Travel_Rarely,4,2,6981,13,No,7,2,0,0,1,5,3,0,3,4,2,3,3,Yes
1080,18,Male,Married,Sales,Sales Representative,3,Human Resources,Travel_Rarely,1,2,6047,16,Yes,5,1,0,1,0,5,2,0,3,3,2,3,3,Yes
1081,24,Female,Divorced,Research & Development,Research Scientist,3,Human Resources,Travel_Rarely,7,3,5890,18,No,9,8,8,1,6,1,4,1,1,4,3,1,4,No
1082,26,Male,Married,Research & Development,Research Scientist,3,Human Resources,Travel_Rarely,3,1,3438,13,No,5,0,0,0,0,2,3,0,4,3,3,4,3,Yes
1083,45,Female,Divorced,Research & Development,Research Director,3,Technical Degree,Travel_Rarely,2,2,6742,13,No,8,7,1,0,4,2,2,1,3,4,2,3,3,No
1084,36,Female,Married,Research & Development,Laboratory Technician,3,Marketing,Travel_Rarely,1,2,6016,19,No,5,1,1,1,1,1,3,0,1,1,4,2,4,No
1085,20,Male,Divorced,Research & Development,Research Scientist,5,Human Resources,Travel_Frequently,3,1,3734,25,No,4,4,4,0,2,3,2,1,1,1,4,3,4,No
1086,20,Male,Married,Sales,Manager,3,Life Sciences,Travel_Rarely,1,3,6677,19,No,6,4,2,1,0,3,4,0,4,3,3,2,4,No
1087,31,Female,Single,Research & Development,Research Scientist,2,Other,Non-Travel,4,1,5117,20,No,9,3,3,3,0,4,5,1,3,3,3,3,4,Yes
1088,29,Female,Single,Research & Development,Research Scientist,2,Other,Non-Travel,1,2,7038,18,No,2,1,1,1,1,1,2,3,1,2,3,3,3,Yes
1089,47,Male,Single,Sales,Sales Executive,4,Human Resources,Travel_Frequently,13,2,4412,11,Yes,12,6,0,1,1,3,1,0,3,3,2,2,3,Yes
1090,38,Female,Single,Sales,Manager,1,Marketing,Travel_Frequently,7,2,7502,11,Yes,7,3,0,0,3,5,1,1,4,3,3,3,3,Yes
1091,28,Male,Single,Research & Development,Laboratory Technician,3,Life Sciences,Travel_Rarely,1,2,7263,19,No,7,6,0,1,6,6,3,0,4,1,4,3,3,No
1092,38,Male,Single,Research & Development,Manufacturing Director,3,Marketing,Travel_Frequently,27,1,7839,13,No,20,15,3,0,2,2,1,2,1,3,3,3,3,No
1093,33,Female,Married,Research & Development,Research Scientist,3,Technical Degree,Travel_Rarely,7,3,9924,15,No,1,0,0,0,0,2,4,1,1,3,3,3,3,No
1094,34,Female,Single,Research & Development,Laboratory Technician,3,Marketing,Travel_Rarely,6,1,5494,12,No,3,0,0,0,0,2,1,1,2,2,2,3,3,No
1095,45,Male,Divorced,Sales,Sales Executive,1,Marketing,Travel_Frequently,18,1,2808,18,No,12,7,1,3,0,3,6,1,4,4,3,3,3,No
1096,52,Female,Divorced,Research & Development,Research Scientist,3,Marketing,Travel_Frequently,1,3,9341,11,No,8,5,1,0,4,0,2,0,1,3,3,4,3,No
1097,35,Female,Married,Research & Development,Laboratory Technician,3,Other,Travel_Rarely,4,4,8771,16,No,3,0,0,0,0,3,3,1,1,4,3,3,3,Yes
1098,29,Female,Divorced,Sales,Sales Representative,4,Human Resources,Non-Travel,23,2,6359,17,No,9,3,3,3,0,5,4,0,2,3,3,4,3,No
1099,33,Male,Divorced,Research & Development,Laboratory Technician,1,Human Resources,Travel_Rarely,2,2,6600,18,No,19,12,12,0,5,5,6,3,3,1,1,1,3,No
1100,24,Male,Single,Sales,Sales Executive,2,Human Resources,Travel_Frequently,4,3,6681,11,No,7,4,1,4,0,2,3,0,4,4,3,3,3,Yes
1101,36,Male,Divorced,Sales,Manager,3,Human Resources,Travel_Rarely,11,2,7560,17,Yes,8,8,2,0,0,2,1,0,3,1,2,3,3,No
1102,18,Male,Married,Human Resources,HR Manager,4,Life Sciences,Travel_Rarely,4,1,3459,11,No,3,1,1,1,0,2,2,0,3,2,3,3,3,No
1103,22,Male,Single,Research & Development,Research Scientist,1,Human Resources,Travel_Rarely,5,1,4931,14,Yes,9,2,2,0,0,1,1,1,1,4,2,2,4,No
1104,36,Male,Married,Research & Development,Research Scientist,3,Life Sciences,Travel_Frequently,1,3,8247,13,No,8,6,1,6,3,3,3,0,4,1,3,3,3,No
1105,26,Female,Divorced,Sales,Manager,4,Life Sciences,Travel_Rarely,2,2,4745,17,Yes,6,4,4,0,3,3,2,0,1,2,1,3,3,Yes
1106,35,Female,Divorced,Sales,Manager,3,Technical Degree,Travel_Rarely,8,5,11689,14,No,9,2,2,1,0,2,6,0,1,3,4,2,3,No
1107,28,Female,Married,Research & Development,Manufacturing Director,3,Medical,Travel_Rarely,1,3,7545,11,No,20,15,1,0,1,3,3,0,1,3,3,3,3,No
1108,56,Female,Single,Sales,Manager,3,Other,Travel_Rarely,3,1,4846,14,No,10,4,1,4,1,1,0,1,4,2,3,4,3,No
1109,39,Male,Single,Research & Development,Research Scientist,2,Technical Degree,Travel_Frequently,8,1,1970,21,Yes,7,0,0,0,0,6,1,1,2,2,2,3,3,Yes
1110,45,Male,Divorced,Sales,Sales Representative,4,Other,Travel_Frequently,3,3,11049,11,Yes,13,12,5,1,0,3,1,0,4,3,3,3,4,No
1111,45,Female,Married,Research & Development,Manufacturing Director,4,Life Sciences,Travel_Rarely,1,4,8622,25,No,8,7,7,0,1,4,2,3,3,1,2,2,3,No
1112,48,Male,Single,Research & Development,Research Scientist,1,Life Sciences,Travel_Rarely,14,4,9974,17,No,9,3,3,2,3,1,2,0,3,1,3,2,3,No
1113,28,Female,Divorced,Sales,Sales Executive,2,Other,Travel_Rarely,8,1,1660,11,Yes,2,0,0,0,0,3,2,1,3,2,2,4,3,Yes
1114,49,Female,Married,Research & Development,Research Scientist,2,Human Resources,Travel_Rarely,1,3,8134,20,No,1,1,1,0,1,5,5,0,3,3,4,2,3,No
1115,36,Male,Married,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,18,1,5028,11,No,3,0,0,0,0,3,4,0,4,3,4,3,3,No
1116,36,Male,Married,Research & Development,Research Director,1,Technical Degree,Travel_Rarely,1,3,8661,17,No,5,4,1,1,3,8,2,0,1,3,3,3,3,No
1117,40,Female,Married,Sales,Manager,3,Technical Degree,Travel_Rarely,10,4,8085,11,No,6,4,0,0,3,2,2,1,4,2,3,2,4,No
1118,46,Male,Single,Research & Development,Manufacturing Director,4,Technical Degree,Travel_Rarely,11,1,3490,16,No,6,1,1,1,1,6,2,0,1,3,3,3,4,No
1119,36,Male,Single,Research & Development,Laboratory Technician,2,Human Resources,Travel_Frequently,25,1,4381,19,No,14,9,1,1,7,7,3,0,2,1,3,3,3,No
1120,55,Male,Single,Research & Development,Research Scientist,3,Marketing,Travel_Frequently,5,1,6414,12,No,8,3,3,2,0,2,3,1,2,4,2,3,3,No
1121,42,Female,Single,Research & Development,Manufacturing Director,3,Life Sciences,Travel_Frequently,9,2,6239,13,No,10,8,8,5,2,1,3,0,4,3,4,3,3,No
1122,39,Male,Married,Research & Development,Manufacturing Director,4,Marketing,Travel_Frequently,1,1,4715,11,No,3,1,1,1,0,4,2,1,3,4,3,2,3,No
1123,35,Female,Divorced,Sales,Sales Representative,2,Other,Travel_Rarely,1,1,2874,17,Yes,7,0,0,0,0,2,1,0,1,2,3,3,3,Yes
1124,31,Female,Married,Research & Development,Research Scientist,2,Other,Travel_Rarely,1,1,3276,11,No,16,10,1,2,2,4,3,1,3,3,3,3,3,No
1125,38,Female,Married,Research & Development,Manufacturing Director,3,Technical Degree,Non-Travel,5,2,6275,11,No,16,11,5,0,5,1,3,0,3,3,2,3,3,No
1126,40,Male,Married,Research & Development,Research Director,4,Life Sciences,Non-Travel,2,4,9552,16,No,13,11,1,0,0,4,0,1,2,2,4,2,3,No
1127,38,Male,Single,Research & Development,Research Scientist,3,Marketing,Travel_Frequently,1,2,6829,15,No,11,6,2,1,1,3,3,0,4,4,3,3,3,No
1128,18,Male,Married,Sales,Manager,2,Life Sciences,Travel_Frequently,5,1,6345,13,No,14,12,0,3,2,2,3,0,4,1,3,2,3,No
1129,28,Female,Married,Sales,Manager,3,Marketing,Travel_Rarely,7,5,9611,18,No,6,1,1,0,1,3,3,1,4,2,2,4,3,No
1130,46,Female,Married,Research & Development,Research Director,2,Technical Degree,Travel_Rarely,1,5,11642,11,Yes,12,6,0,0,3,2,5,0,3,3,3,3,3,No
1131,48,Female,Single,Research & Development,Manufacturing Director,3,Life Sciences,Non-Travel,10,1,3311,11,No,7,4,4,2,4,6,1,1,3,2,3,2,3,No
1132,34,Female,Divorced,Research & Development,Research Scientist,4,Human Resources,Travel_Rarely,1,1,4158,12,No,7,2,0,1,1,4,3,3,1,3,3,2,3,Yes
1133,23,Male,Married,Sales,Sales Executive,3,Life Sciences,Travel_Frequently,3,3,7839,15,Yes,12,8,1,0,0,2,2,1,1,3,2,3,3,Yes
1134,44,Male,Married,Research & Development,Laboratory Technician,1,Medical,Travel_Rarely,5,1,2935,11,No,1,0,0,0,0,1,3,0,4,1,3,3,3,No
1135,52,Female,Single,Research & Development,Research Director,2,Other,Travel_Frequently,1,2,4571,11,No,3,0,0,0,0,1,2,0,1,2,4,2,3,No
1136,31,Male,Married,Research & Development,Laboratory Technician,3,Other,Travel_Rarely,14,2,6146,11,Yes,9,2,2,2,2,2,4,0,4,2,4,3,3,No
1137,30,Male,Divorced,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,8,1,4826,11,No,6,0,0,0,0,4,4,0,3,3,4,3,3,No
1138,54,Male,Single,Research & Development,Laboratory Technician,2,Life Sciences,Non-Travel,16,2,4950,19,Yes,4,2,0,0,0,2,3,1,3,2,3,1,3,Yes
1139,30,Male,Single,Sales,Manager,1,Medical,Travel_Rarely,4,1,3845,11,No,17,10,0,0,0,4,2,0,4,4,3,3,3,No
1140,39,Male,Divorced,Research & Development,Manufacturing Director,3,Marketing,Travel_Frequently,2,1,5824,16,No,17,11,1,0,1,1,3,3,1,3,2,1,3,No
1141,42,Male,Married,Sales,Sales Representative,5,Marketing,Travel_Rarely,11,2,7118,11,No,9,2,2,2,2,2,4,0,2,4,3,3,3,No
1142,30,Male,Married,Research & Development,Laboratory Technician,4,Medical,Travel_Rarely,1,1,2719,18,No,9,2,0,0,1,0,4,1,4,2,1,2,3,No
1143,37,Male,Single,Research & Development,Research Director,3,Technical Degree,Travel_Rarely,12,3,7575,11,No,7,6,2,0,2,1,5,1,1,4,3,3,3,No
1144,46,Female,Married,Research & Development,Research Scientist,3,Technical Degree,Travel_Rarely,6,3,9485,21,Yes,11,7,0,1,3,3,1,0,4,2,3,3,3,No
1145,26,Female,Married,Sales,Sales Executive,5,Human Resources,Travel_Rarely,6,3,7613,11,No,5,0,0,0,0,3,1,0,2,3,3,2,3,No
1146,35,Male,Married,Research & Development,Research Scientist,3,Human Resources,Travel_Rarely,9,5,11771,14,No,12,7,6,3,3,3,2,0,4,2,3,3,3,No
1147,23,Female,Single,Human Resources,Human Resources,1,Marketing,Travel_Rarely,5,1,4199,12,No,2,1,1,1,1,7,5,2,3,1,4,1,4,No
1148,47,Male,Single,Research & Development,Research Scientist,5,Marketing,Travel_Rarely,3,1,2806,14,Yes,7,2,2,2,0,3,3,0,4,4,3,4,3,Yes
1149,50,Female,Divorced,Sales,Sales Executive,2,Life Sciences,Travel_Rarely,3,1,6508,22,Yes,7,6,0,1,6,1,3,2,2,1,2,2,3,Yes
1150,40,Female,Single,Research & Development,Manufacturing Director,4,Life Sciences,Travel_Rarely,1,1,4874,11,No,5,4,4,0,4,2,2,2,4,2,3,3,3,No
1151,30,Male,Married,Research & Development,Laboratory Technician,1,Human Resources,Travel_Rarely,1,2,5386,20,Yes,4,3,3,2,2,5,3,0,4,4,3,3,3,Yes
1152,38,Male,Married,Sales,Manager,2,Marketing,Travel_Rarely,8,3,8245,11,No,4,2,0,1,2,0,2,0,4,4,4,2,3,No
1153,38,Male,Married,Sales,Sales Representative,5,Medical,Travel_Rarely,14,3,5795,13,No,0,0,0,0,0,1,3,0,3,1,1,3,3,No
1154,32,Female,Divorced,Research & Development,Research Director,5,Marketing,Non-Travel,6,1,4395,12,No,4,0,0,0,0,5,2,0,3,3,4,1,3,Yes
1155,31,Female,Married,Research & Development,Laboratory Technician,3,Marketing,Travel_Rarely,1,2,7940,11,No,21,15,6,1,1,5,1,1,3,3,4,2,3,No
1156,34,Male,Single,Research & Development,Manufacturing Director,2,Life Sciences,Travel_Rarely,3,1,4197,20,Yes,2,0,0,0,0,1,3,0,3,3,3,3,3,Yes
1157,35,Female,Single,Sales,Sales Representative,1,Other,Travel_Rarely,1,2,5983,18,No,7,0,0,0,0,5,3,0,3,4,2,1,4,No
1158,38,Male,Married,Research & Development,Laboratory Technician,1,Life Sciences,Travel_Rarely,1,1,5548,11,No,6,3,0,0,0,5,3,1,4,2,2,2,3,No
1159,34,Male,Divorced,Research & Development,Research Director,4,Medical,Travel_Rarely,5,2,6231,18,No,4,1,1,0,1,1,1,0,4,3,3,1,3,No
1160,34,Female,Married,Research & Development,Manufacturing Director,3,Marketing,Travel_Frequently,8,2,6271,17,No,3,1,1,1,1,3,4,1,4,1,3,3,3,No
1161,31,Female,Single,Research & Development,Laboratory Technician,3,Other,Travel_Rarely,3,1,4757,13,Yes,7,5,2,2,3,3,4,1,1,1,3,1,3,Yes
1162,43,Male,Single,Research & Development,Research Scientist,2,Technical Degree,Travel_Rarely,13,2,5017,24,No,9,5,1,4,0,3,3,0,4,4,2,3,3,No
1163,43,Female,Divorced,Research & Development,Research Director,2,Life Sciences,Travel_Rarely,29,5,12094,25,No,30,26,7,1,1,2,1,1,2,2,3,3,4,No
1164,57,Male,Divorced,Research & Development,Manufacturing Director,3,Medical,Travel_Rarely,1,1,4751,14,No,6,0,0,0,0,3,5,0,1,2,3,2,3,No
1165,25,Female,Married,Sales,Sales Executive,1,Medical,Non-Travel,1,1,2102,16,No,2,1,0,0,1,0,3,1,1,3,3,3,3,Yes
1166,40,Female,Divorced,Research & Development,Laboratory Technician,5,Technical Degree,Travel_Rarely,15,1,2733,15,No,8,6,1,4,6,6,4,1,1,2,3,3,4,No
1167,41,Male,Single,Sales,Sales Executive,5,Life Sciences,Travel_Frequently,2,1,3238,15,Yes,7,0,0,0,0,5,5,1,4,3,1,3,4,Yes
1168,59,Male,Married,Research & Development,Manufacturing Director,3,Marketing,Travel_Rarely,4,5,12171,19,No,4,1,1,1,1,5,3,1,1,4,3,3,3,No
